m;E
0.015;1.35E+00
0.013;1.17E+00
0.002;1.80E-01
0.001;8.99E-02
0.005;4.49E-01
0.009;8.09E-01
0.02;1.80E+00
0.002;1.80E-01
0.005;4.49E-01
0.005;4.49E-01
0.013;1.17E+00
0.002;1.80E-01
0.013;1.17E+00
0.007;6.29E-01
0.005;4.49E-01
0.02;1.80E+00
0.001;8.99E-02
0.003;3.80E-01
0.014;1.26E+00
0.017;1.53E+00
0.019;1.71E+00
0.005;4.49E-01
0.014;1.26E+00
0.008;7.19E-01
0.016;1.44E+00
0.003;2.70E-01
0.013;1.17E+00
0.017;1.53E+00
0.014;1.26E+00
0.019;1.71E+00
0.008;7.19E-01
0.005;4.49E-01
0.017;1.53E+00
0.013;1.17E+00
0.003;2.70E-01
0.013;1.17E+00
0.003;2.70E-01
0.013;1.17E+00
0.014;1.26E+00
0.001;8.99E-02
0.002;1.80E-01
0.001;8.99E-02
0.006;5.39E-01
0.001;8.99E-02
0.001;8.99E-02
0.01;8.99E-01
0.003;2.70E-01
0.003;2.70E-01
0.009;8.09E-01
0.011;9.89E-01
0.009;8.09E-01
0.012;1.08E+00
0.005;4.49E-01
0.003;2.70E-01
0.009;8.09E-01
0.005;4.49E-01
0.008;7.19E-01
0.008;7.19E-01
0.003;2.70E-01
0.013;1.17E+00
0.004;3.60E-01
0.013;1.17E+00
0.02;1.80E+00
0.016;1.44E+00
0.012;1.08E+00
0.013;1.17E+00
0.003;2.70E-01
0.008;7.19E-01
0.004;3.60E-01
0.007;6.29E-01
0.003;2.70E-01
0.019;1.71E+00
0.017;1.53E+00
0.019;1.71E+00
0.018;1.62E+00
0.017;1.53E+00
0.013;1.17E+00
0.009;8.09E-01
0.019;1.71E+00
0.01;8.99E-01
0.013;1.17E+00
0.002;1.80E-01
0.009;8.09E-01
0.01;8.99E-01
0.006;5.39E-01
0.001;8.99E-02
0.003;2.70E-01
0.019;1.71E+00
0.017;1.53E+00
0.019;1.71E+00
0.018;1.62E+00
0.017;1.53E+00
0.013;1.17E+00
0.009;8.09E-01
0.019;1.71E+00
0.017;1.53E+00
0.019;1.71E+00
0.018;1.62E+00
0.017;1.53E+00
