mass flow;omega;vu1;r1;vu2;r2;P
22;103;173;5;13;19;1400.388
29;126;194;6;10;16;3668.616
21;102;124;9;17;18;1735.02
23;135;166;6;15;17;2300.805
16;150;128;9;17;20;1948.8
29;112;169;6;15;20;2319.072
19;144;173;6;11;16;2358.432
29;143;133;10;18;15;4395.82
13;125;197;8;19;16;2067
16;114;145;6;18;20;930.24
20;144;118;7;11;16;1872
29;121;132;6;12;15;2147.508
13;121;188;5;10;17;1211.21
18;141;160;9;14;18;3015.144
16;100;111;5;18;16;427.2
19;116;153;5;10;17;1311.38
26;120;180;9;12;18;4380.48
30;144;189;9;15;19;6117.12
28;135;188;7;14;19;3969
21;138;171;7;19;20;2367.666
19;133;185;9;12;20;3600.975
13;108;147;9;10;16;1632.852
14;128;113;5;12;19;603.904
21;134;140;6;19;19;1347.906
22;108;119;9;19;18;1732.104
28;119;182;5;18;15;2132.48
13;134;163;10;14;18;2400.476
20;150;116;9;14;16;2460
16;124;113;10;17;15;1736
27;103;127;10;16;19;2686.446
19;138;164;8;15;19;2692.794
24;126;200;7;14;19;3429.216
27;110;163;8;12;19;3195.72
12;108;177;8;17;18;1438.56
16;127;107;9;12;17;1542.288
23;146;191;10;19;18;5265.344
24;127;174;6;20;15;2267.712
11;146;147;7;15;18;1218.954
28;130;107;5;20;19;564.2
27;143;109;7;14;17;2027.025
26;146;102;10;19;15;2790.06
18;137;196;10;17;16;4162.608
18;101;143;7;13;19;1370.772
15;118;171;7;11;17;1787.7
28;116;148;7;14;15;2682.848
19;100;117;10;18;17;1641.6
24;126;102;7;12;20;1433.376
14;110;190;9;11;16;2362.36
10;121;160;7;10;18;1137.4
28;149;110;10;10;15;3963.4
21;150;156;7;18;15;2589.3
19;133;117;9;11;19;2132.788
18;100;178;10;18;18;2620.8
16;135;112;5;18;20;432
12;122;196;7;19;18;1507.92
22;136;130;5;17;17;1080.112
10;111;198;6;20;16;963.48
22;102;152;10;19;17;2686.068
27;147;144;7;18;16;2857.68
13;101;163;8;11;17;1466.621
20;136;135;9;12;18;2717.28
25;144;141;6;12;15;2397.6
16;102;196;5;12;20;1207.68
15;117;119;8;15;18;1196.91
30;118;116;9;17;19;2552.34
18;115;132;8;10;20;1771.92
10;139;163;5;17;19;683.88
17;129;146;7;12;16;1820.19
26;121;169;6;10;19;2592.304
23;128;188;5;20;16;1825.28
21;110;183;9;17;15;3215.52
27;113;126;7;10;19;2111.292
13;138;101;9;13;16;1257.594
11;148;131;9;10;15;1675.212
10;134;181;8;17;20;1484.72
28;129;155;8;10;17;3864.84
29;111;193;7;12;17;3692.193
24;127;187;10;16;16;4919.472
25;100;141;8;11;16;2380
17;114;115;10;11;15;1908.93
10;139;103;6;10;20;581.02
19;107;100;10;12;17;1618.268
23;145;175;7;14;20;3151.575
14;100;114;8;12;20;940.8
25;140;144;5;19;17;1389.5
21;113;163;6;14;16;1789.242
17;103;194;5;13;17;1311.499
17;118;173;6;19;17;1434.29
13;126;197;5;11;18;1289.106
23;100;111;10;18;17;1849.2
23;128;189;8;17;16;3650.56
16;123;156;7;17;17;1580.304
12;146;185;9;20;18;2286.36
12;115;169;9;17;17;1700.16
30;135;195;6;11;18;3936.6
