m1;m2;r;F
85123;51979;0.009;3.65E+03
45786;33747;0.006;2.86E+03
20708;72436;0.005;4.00E+03
98098;36240;0.002;5.93E+04
6087;32425;0.005;5.27E+02
60089;76424;0.005;1.23E+04
19568;96892;0.002;3.16E+04
80276;39927;0.007;4.37E+03
51658;16670;0.002;1.44E+04
23949;98062;0.007;3.20E+03
32546;9349;0.006;5.64E+02
54671;80981;0.003;3.28E+04
89393;80352;0.003;5.33E+04
46193;91986;0.007;5.79E+03
23749;93727;0.009;1.83E+03
59810;38753;0.007;3.16E+03
44449;94540;0.002;7.01E+04
82520;83518;0.008;7.19E+03
16665;78874;0.006;2.44E+03
28486;42801;0.008;1.27E+03
98807;29947;0.01;1.97E+03
45865;86857;0.004;1.66E+04
53387;61851;0.002;5.51E+04
43354;35830;0.009;1.28E+03
31989;50013;0.003;1.19E+04
42246;61161;0.003;1.92E+04
29734;61769;0.004;7.66E+03
37604;50783;0.003;1.42E+04
72405;97446;0.01;4.71E+03
97705;58525;0.008;5.96E+03
66487;6407;0.003;3.16E+03
37976;20389;0.002;1.29E+04
13915;41036;0.007;7.78E+02
59352;43244;0.009;2.11E+03
31033;70890;0.007;3.00E+03
14886;82713;0.002;2.05E+04
41725;76315;0.009;2.62E+03
59488;98560;0.006;1.09E+04
88972;77000;0.004;2.86E+04
33586;38771;0.008;1.36E+03
64382;61567;0.005;1.06E+04
64756;47716;0.002;5.16E+04
5187;32203;0.006;3.10E+02
32266;18216;0.009;4.84E+02
47214;77498;0.008;3.82E+03
95941;43821;0.007;5.73E+03
90569;46304;0.004;1.75E+04
46221;15167;0.007;9.55E+02
38989;63696;0.002;4.14E+04
87819;75464;0.002;1.11E+05
32651;82705;0.001;1.80E+05
29608;76840;0.004;9.49E+03
16011;90609;0.009;1.20E+03
85974;21074;0.004;7.56E+03
58090;79619;0.008;4.82E+03
24700;20964;0.004;2.16E+03
27158;36061;0.008;1.02E+03
56137;58180;0.007;4.45E+03
12590;11012;0.004;5.78E+02
5843;96505;0.007;7.68E+02
7207;87741;0.003;4.69E+03
32510;7789;0.01;1.69E+02
79111;49384;0.009;3.22E+03
40856;18061;0.005;1.97E+03
51882;98392;0.001;3.41E+05
47509;82127;0.008;4.07E+03
51912;89532;0.002;7.76E+04
42324;90206;0.003;2.83E+04
83352;39557;0.002;5.50E+04
13144;65687;0.005;2.31E+03
6303;87796;0.006;1.03E+03
51279;16312;0.009;6.89E+02
43296;97788;0.01;2.83E+03
32236;12156;0.006;7.26E+02
23626;89761;0.004;8.85E+03
95774;98154;0.008;9.80E+03
29908;31679;0.007;1.29E+03
42905;38341;0.002;2.74E+04
33217;85521;0.009;2.34E+03
88214;63886;0.008;5.88E+03
95491;58848;0.01;3.75E+03
16986;51651;0.004;3.66E+03
60932;42494;0.005;6.91E+03
53630;38955;0.009;1.72E+03
79317;17074;0.003;1.00E+04
43926;54027;0.003;1.76E+04
66917;75304;0.01;3.36E+03
12788;54145;0.004;2.89E+03
52726;66264;0.002;5.83E+04
77827;59305;0.01;3.08E+03
52401;78425;0.009;3.39E+03
29456;70259;0.002;3.45E+04
87662;9836;0.01;5.75E+02
8242;64242;0.004;2.21E+03
93193;82120;0.009;6.31E+03
62914;12237;0.001;5.14E+04
67895;94904;0.007;8.78E+03
39013;22577;0.01;5.88E+02
82854;14657;0.008;1.27E+03
